date,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39
6/23/2012,0,1,0,2,0,0,2,0,1,1,1,0,3,1,0,1,2,1,1,2,1,1,0,1,1,0,1,0,3,0,1,0,0,0,0,1,0,1,0
6/24/2012,1,1,0,0,1,1,0,0,0,1,1,0,2,0,1,0,0,0,1,1,1,2,0,0,1,1,1,1,1,0,1,2,1,1,1,0,1,2,2
6/25/2012,0,1,1,1,1,1,0,2,0,0,2,2,1,0,0,2,0,1,0,0,0,0,3,0,1,2,0,0,1,1,0,1,0,1,1,1,1,2,0
6/26/2012,0,1,1,3,0,1,1,0,0,1,0,0,2,1,3,2,0,1,1,1,0,1,2,0,1,2,0,0,0,0,2,0,0,1,1,0,1,0,0
6/27/2012,0,1,1,1,2,0,1,3,1,0,0,0,0,0,1,1,0,0,1,1,0,1,2,0,0,0,0,0,2,2,3,0,2,0,1,2,0,1,0
6/28/2012,0,1,0,0,2,4,1,3,1,0,0,3,1,1,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,1,0,1,2
6/29/2012,0,2,0,1,1,0,0,1,0,0,2,3,1,0,0,1,3,0,0,1,2,1,2,0,0,1,0,0,0,0,0,2,1,0,0,1,2,1,1
6/30/2012,1,1,1,0,0,1,1,3,1,2,1,0,2,0,0,1,1,0,1,0,1,1,1,2,0,0,3,0,1,1,0,0,0,1,1,0,0,1,0
7/1/2012,0,1,0,2,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,2,2,2,1,0,0,0,3,0,1,0,1,0,1,1,1,1,2,1,1
7/2/2012,1,2,0,1,0,1,1,0,1,1,1,0,1,0,0,2,0,2,2,0,0,0,1,0,2,0,2,0,0,1,0,0,1,1,1,1,1,2,1
7/3/2012,0,2,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,2,1,1,1,1,0,3,0,2,0,1,0,1,1,0,0,2,1,1,0,0,1
7/4/2012,1,1,1,2,2,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,2,0,1,0,0,2,1,2,1,1,2,0,2,0,1,1,1,0
7/5/2012,1,0,1,0,2,1,0,0,1,1,1,1,0,0,0,1,2,1,1,1,0,3,1,3,0,1,0,0,0,3,1,0,0,0,1,0,0,1,1
7/6/2012,0,1,0,0,1,3,0,1,1,1,1,0,0,0,0,3,0,1,1,1,2,2,0,0,0,1,2,0,0,1,0,2,0,2,0,2,0,1,0
7/7/2012,1,1,0,3,1,0,1,1,1,2,0,0,0,2,1,0,1,0,1,0,0,2,0,0,1,0,0,3,3,0,1,1,0,0,0,0,2,0,1
7/8/2012,0,1,2,2,2,2,0,1,0,1,0,0,1,2,0,3,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,1,2,0,2,1,1,0,0
7/9/2012,0,2,0,1,1,2,1,0,0,2,0,2,1,1,0,0,0,0,2,1,0,1,2,0,2,0,0,2,0,1,0,1,1,0,0,1,2,0,1
7/10/2012,0,2,2,1,0,0,0,1,0,0,1,1,2,0,1,0,3,0,0,1,0,1,1,1,1,1,1,2,0,1,1,0,1,0,0,2,1,1,0
7/11/2012,0,0,1,2,0,0,1,0,1,0,1,0,0,1,2,3,1,0,2,0,1,1,2,1,1,1,0,1,1,0,0,1,1,1,1,2,0,0,0
7/12/2012,0,0,2,0,1,0,1,2,0,0,2,0,3,0,2,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,2,2,2,0,0,0,1,0,1
7/13/2012,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,2,1,1,3,1,0,0,0,0,2,1,1,1,1,0,0,3,2
7/14/2012,1,0,0,2,1,1,2,1,2,0,1,2,2,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,1,1,1,1,1
7/15/2012,1,0,1,2,0,1,1,0,0,0,0,2,0,1,1,0,1,1,1,2,1,1,2,1,0,0,2,3,0,0,1,0,0,2,0,1,0,0,1
7/16/2012,1,2,1,0,0,0,0,1,2,1,1,1,0,0,1,0,1,2,1,0,0,0,1,1,1,0,0,3,0,1,2,1,1,1,0,1,1,1,0
7/17/2012,1,1,0,1,0,1,1,2,0,0,0,3,1,0,0,0,0,2,0,2,0,0,2,1,0,2,1,0,0,2,2,0,1,0,1,2,0,1,0
7/18/2012,2,0,1,3,0,0,2,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,2,2,1,0,0,0,0,2,0,0,0,0,2
7/19/2012,0,1,1,0,2,1,0,1,0,0,0,0,0,0,1,1,0,2,4,2,1,0,1,0,3,2,1,1,2,1,0,1,0,0,1,0,0,0,0
7/20/2012,1,0,1,0,3,0,1,0,2,0,0,0,2,1,0,1,0,0,0,0,3,1,1,0,1,1,0,1,0,0,1,0,1,2,1,0,2,3,0
7/21/2012,1,1,0,0,1,0,2,1,0,1,1,2,0,1,1,2,0,0,0,2,0,0,1,1,0,1,1,0,1,0,1,2,1,3,1,0,0,1,0
7/22/2012,1,0,1,0,1,2,0,1,0,2,1,0,3,0,2,1,2,1,0,0,0,0,1,0,2,0,3,1,0,0,1,0,1,0,0,1,1,1,0
7/23/2012,1,0,2,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,2,1,1,1,1,1,1,2,0,0,0,2,0,0,0,3
7/24/2012,1,1,0,0,0,0,1,2,2,1,1,1,0,0,2,1,2,1,1,1,0,0,1,0,0,0,1,0,2,1,1,0,1,1,1,0,1,1,1
7/25/2012,1,0,0,1,2,0,1,1,0,1,1,1,1,0,2,0,0,0,1,1,2,0,1,1,1,0,0,2,1,2,2,0,1,0,1,1,1,0,0
7/26/2012,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,0,1,2,0,1,2,3,1,0,0,1,3,1,1,0,4,1,1
7/27/2012,0,2,1,1,2,1,0,1,0,0,2,0,0,1,3,3,2,1,0,1,2,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,1,0
7/28/2012,1,1,1,1,2,1,1,1,1,2,2,0,1,0,0,0,2,2,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1
7/29/2012,0,2,2,1,1,1,0,1,1,1,0,1,1,0,2,0,1,1,0,2,0,1,1,1,0,1,1,0,0,0,2,1,0,3,0,0,0,1,0
7/30/2012,0,0,1,0,1,0,0,2,0,0,0,2,0,0,1,1,1,0,3,0,2,0,0,0,1,1,2,2,1,3,0,0,1,1,0,0,1,2,1
7/31/2012,0,2,1,0,0,0,0,2,1,1,0,0,0,0,1,0,2,1,0,1,2,1,2,0,1,3,1,0,0,0,1,2,0,2,1,1,1,0,0
8/1/2012,0,1,0,0,1,1,1,1,3,0,1,0,0,2,0,0,0,2,0,1,1,0,2,0,0,0,1,0,0,1,2,0,1,1,1,0,1,4,1
8/2/2012,1,0,0,2,1,2,0,1,3,0,0,4,2,1,2,0,0,1,2,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1
8/3/2012,1,0,1,0,0,0,3,1,0,0,3,1,0,0,1,0,1,0,2,0,0,1,1,0,2,0,0,0,3,0,2,1,1,2,1,0,0,0,2
8/4/2012,0,1,2,1,0,1,1,0,0,1,0,1,1,1,0,3,1,2,0,0,1,1,0,0,1,0,1,3,0,0,2,2,0,0,0,2,1,0,0
8/5/2012,0,3,1,0,0,2,0,0,1,1,2,1,0,0,0,1,2,2,0,0,2,0,1,0,1,0,0,0,1,1,2,0,3,0,1,1,0,1,0
8/6/2012,1,1,0,2,1,2,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,2,0,1,2,1,0,0,1,0,1,0,2,3,1,0
8/7/2012,0,4,1,1,0,2,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,2,1,0,0,0,1,2,0,0,2,0,2,1,0,0,0,0,2
8/8/2012,0,0,0,0,0,0,3,0,2,1,2,0,2,1,0,1,0,2,0,0,1,1,0,1,1,1,1,0,1,3,0,0,1,0,1,0,2,2,0
8/9/2012,0,1,3,1,1,0,1,0,1,1,2,2,1,0,1,0,0,3,1,0,0,2,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1
8/10/2012,1,0,0,1,1,1,0,0,1,0,0,2,0,0,1,1,1,0,0,1,1,0,2,1,3,1,1,0,0,1,1,0,0,1,0,2,1,2,2
8/11/2012,1,0,1,4,0,1,0,1,1,1,0,2,1,0,1,1,1,0,1,0,1,1,0,1,0,3,2,0,1,0,0,1,0,0,0,0,0,1,2
8/12/2012,2,3,2,1,0,0,1,0,0,0,0,0,0,0,1,2,0,2,1,0,0,1,1,2,0,0,0,0,1,1,2,1,2,0,0,2,0,1,1
8/13/2012,3,1,3,1,1,1,0,0,0,0,0,1,2,2,0,1,0,0,1,1,1,2,2,1,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0
8/14/2012,1,0,1,2,1,0,1,2,1,1,0,0,1,1,0,1,1,0,2,0,1,0,1,1,1,0,1,0,0,0,0,2,1,0,1,1,0,2,2
8/15/2012,0,0,1,1,2,0,1,0,1,3,2,0,1,1,1,1,1,1,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,1,1
8/16/2012,1,2,2,0,0,1,1,2,1,0,0,0,0,0,0,1,0,1,0,1,0,3,2,1,2,0,1,0,1,1,1,0,1,1,1,0,1,1,0
8/17/2012,0,0,0,2,0,1,1,0,1,1,0,1,1,0,1,2,4,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,2,1,0,0
8/18/2012,2,0,0,1,2,2,0,0,0,2,0,0,1,1,1,0,2,0,0,1,0,0,0,2,0,1,2,0,1,1,0,1,2,0,1,0,0,2,2
8/19/2012,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,2,3,0,1,0,1,1,0,0,0,1,2,3,0,0,2,1,2,0,0,0,1
8/20/2012,1,0,1,1,1,2,0,1,1,3,1,1,0,0,0,0,1,0,1,1,2,0,1,1,0,0,1,0,3,1,0,1,0,2,0,0,0,0,2
8/21/2012,1,1,1,0,0,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,2,1,0,0,0,1,2,0,1,1,1,2,1,1,1,1,0,1,2
8/22/2012,0,1,1,1,1,1,1,2,0,1,1,0,1,2,2,0,0,1,1,1,0,2,1,0,1,2,0,1,0,0,0,0,0,2,1,2,0,0,0
8/23/2012,1,1,0,0,0,0,1,0,2,0,0,3,0,1,1,0,0,2,2,1,1,1,0,0,1,0,0,2,1,2,2,1,2,0,1,0,0,0,1
8/24/2012,0,0,0,0,0,0,0,1,1,0,0,2,2,1,0,0,2,1,2,1,1,1,1,2,0,1,0,1,2,1,1,0,0,1,2,1,1,1,0
8/25/2012,1,0,1,2,0,0,0,1,0,0,0,1,0,1,3,0,0,2,2,1,1,0,1,1,0,1,2,2,0,0,1,1,0,0,0,1,0,0,4
8/26/2012,0,1,2,1,3,1,1,1,0,0,1,0,1,2,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,3,0,0
8/27/2012,2,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,2,1,0,1,0,1,2,0,0,1,3,0,1,1,1,0,1,0,2,0,1
8/28/2012,3,0,0,2,1,1,0,0,1,2,0,0,0,2,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,2,1,1,0,1,1
8/29/2012,1,0,1,1,1,0,2,0,1,0,0,1,3,0,1,1,1,0,1,1,1,2,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,2,1
8/30/2012,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,2,1,1,0,0,0,2,0,2,0,0,2,0,1,0,4,1,1,0,0,0,2,1
8/31/2012,0,0,1,2,1,1,0,1,0,1,1,0,0,1,2,0,1,3,0,2,1,0,0,0,2,0,0,1,2,2,1,0,0,0,1,0,2,1,0
9/1/2012,0,1,1,2,1,1,2,2,2,0,0,0,1,1,1,1,0,0,1,1,2,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1
9/2/2012,2,0,0,2,0,0,1,1,1,0,0,2,0,1,0,2,0,0,2,1,1,0,2,1,0,1,1,1,1,1,0,0,2,1,2,0,0,1,0
9/3/2012,0,0,2,1,0,0,0,1,1,1,0,1,0,2,1,1,1,0,0,0,1,2,1,0,1,1,1,1,1,0,1,0,0,1,2,3,1,1,0
9/4/2012,0,2,1,1,1,1,0,2,0,1,0,1,1,2,1,1,0,0,0,0,0,1,1,2,1,0,1,0,1,1,2,0,0,0,0,0,2,1,2
9/5/2012,1,1,0,1,1,0,2,1,0,0,1,1,3,0,1,0,1,0,2,1,0,1,0,2,1,1,1,0,1,0,0,0,2,0,2,1,0,0,1
9/6/2012,0,2,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,3,0,1,2,1,1,0,2,0,0,0,0,1,2,0,1,2,0,1,1,1,0
9/7/2012,0,0,1,0,1,2,1,1,0,2,1,0,1,2,0,0,1,0,0,0,2,1,1,0,0,0,0,1,1,0,2,3,2,1,1,0,0,0,2
9/8/2012,1,0,0,0,1,1,1,1,1,1,2,0,1,0,0,3,2,1,0,3,0,2,0,0,0,0,2,0,0,0,1,0,0,1,2,1,1,1,0
9/9/2012,0,1,1,1,1,3,1,0,1,1,1,0,1,0,1,2,1,0,0,2,0,0,2,1,0,1,1,1,2,0,0,2,0,1,0,0,1,0,0
9/10/2012,0,0,0,2,1,1,2,0,1,1,0,2,0,0,1,2,0,2,2,2,0,0,0,2,0,1,1,0,1,2,2,1,1,0,0,0,0,0,0
9/11/2012,1,1,0,0,1,0,2,0,0,2,1,1,0,1,0,0,0,2,0,2,1,1,2,1,0,0,0,1,1,3,0,0,0,0,1,1,1,0,3
9/12/2012,0,1,1,0,2,2,1,1,0,2,1,1,1,0,0,1,0,0,0,1,0,1,2,3,0,1,0,1,1,1,3,0,0,0,0,1,0,1,0
9/13/2012,2,0,1,1,1,0,1,0,2,0,1,0,0,1,0,2,0,0,0,0,3,2,0,1,0,1,2,0,1,2,0,1,0,0,1,2,1,1,0
9/14/2012,0,0,2,2,0,2,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,2,1,0,1,1,0,0,2,2,1,2,0,0,1,2,2,0,1
9/15/2012,0,0,1,1,1,2,0,1,2,1,1,1,1,0,0,1,2,0,0,1,1,0,0,0,1,1,2,2,1,0,1,1,0,2,1,0,1,0,0
9/16/2012,2,0,1,0,1,0,2,0,1,0,0,2,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,2,2,0,1,0,2,1,1,1,1,2
9/17/2012,0,0,0,0,2,1,0,0,0,0,2,0,1,3,0,2,0,0,0,0,1,0,2,0,0,1,1,0,2,1,0,0,2,0,0,3,2,2,2
9/18/2012,0,1,1,0,1,1,1,3,0,0,1,0,0,3,0,0,1,0,2,0,2,0,2,0,2,1,0,1,0,1,0,0,0,1,1,1,0,1,2
9/19/2012,2,1,1,1,0,0,2,1,0,1,1,1,0,0,1,0,0,0,1,1,2,0,2,1,2,0,0,1,1,0,1,0,1,1,2,1,0,0,1
9/20/2012,0,0,1,0,0,1,0,0,1,0,0,1,1,2,1,0,1,0,1,0,2,1,0,0,2,2,1,3,1,0,0,2,2,1,1,0,0,0,2
9/21/2012,0,1,1,0,3,1,1,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,3,2,1,1,0,1,1
9/22/2012,1,1,1,1,2,2,2,1,2,1,0,2,1,2,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,2,0,0
9/23/2012,1,1,0,0,3,0,1,0,0,1,0,1,1,0,2,2,1,1,1,0,2,2,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,2,0
9/24/2012,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,2,1,3,1,0,0,0,1,0,0,2,1,4,0,0,0,2,0,2,1,3,0,2
9/25/2012,0,2,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,4,1,2,1,1,2,1,1,0,0,0,0
9/26/2012,1,1,0,1,0,0,1,2,0,0,0,3,0,1,1,0,1,3,0,1,0,1,2,2,0,0,0,0,0,1,0,1,1,1,1,1,0,1,2
9/27/2012,1,1,0,1,0,0,0,1,1,0,0,1,1,1,2,1,0,2,1,2,2,0,2,1,1,0,1,1,1,2,0,0,0,1,0,0,1,1,0
9/28/2012,0,1,2,1,0,1,0,0,2,2,0,0,0,1,2,0,3,1,0,1,1,1,1,0,1,1,0,2,0,0,0,0,2,0,1,2,0,1,0
9/29/2012,2,0,0,0,0,1,1,1,0,2,0,1,0,1,0,1,0,2,1,0,0,1,1,2,0,1,2,0,0,2,1,0,1,1,2,0,1,1,1
9/30/2012,1,1,0,1,2,1,1,1,0,3,1,0,0,1,0,1,1,0,0,0,0,1,2,2,0,0,1,0,0,1,2,1,0,1,0,1,1,1,1
10/1/2012,0,0,1,1,1,1,1,1,2,1,1,0,0,1,0,3,0,0,1,1,0,0,2,0,1,0,0,0,0,1,2,1,1,0,1,1,1,3,0
10/2/2012,2,0,1,1,0,1,0,1,2,0,2,0,0,0,0,0,0,0,3,1,0,1,2,1,0,1,0,0,1,1,2,0,2,0,1,2,0,0,2
10/3/2012,0,0,0,1,1,0,1,0,2,0,1,3,0,1,0,0,1,1,1,0,2,1,0,2,1,2,0,2,0,1,0,1,1,2,0,1,0,1,0
10/4/2012,0,3,0,0,1,0,0,1,1,0,2,1,1,1,0,0,2,1,1,0,0,0,1,0,1,1,2,2,2,0,0,2,0,2,0,1,0,1,0
10/5/2012,1,2,1,0,0,1,1,1,1,2,0,1,1,1,0,1,0,4,0,0,1,0,0,2,2,0,1,0,0,0,1,1,0,0,0,0,3,0,1
10/6/2012,3,1,0,0,0,0,1,0,1,1,1,1,0,0,1,3,0,1,1,2,0,1,1,1,1,0,0,0,2,0,0,0,2,2,1,0,0,1,1
10/7/2012,0,2,1,0,2,0,1,1,1,1,3,1,1,0,0,0,0,0,2,2,0,2,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,4,0
10/8/2012,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,2,2,0,1,1,2,1,1,1,1,2,2,1,0,0,0,1,1,1,2,0,0,0
10/9/2012,1,1,0,2,0,0,2,1,1,0,0,2,2,1,2,1,1,0,0,1,1,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,2
10/10/2012,0,1,0,2,0,0,2,1,0,1,0,1,1,2,1,3,0,0,1,3,1,0,2,0,0,1,0,0,0,1,0,1,1,0,1,2,0,1,0
10/11/2012,1,2,0,1,2,1,0,0,2,1,2,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,2,1,1,1,0,0,1,2,0,3,0,0
10/12/2012,0,1,1,1,0,1,0,0,0,3,1,1,1,3,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,2,3,0,1,1,1
10/13/2012,2,2,4,0,0,1,0,1,2,2,0,1,1,0,0,1,1,2,2,1,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,1,0
10/14/2012,0,1,0,0,0,1,3,0,0,1,0,0,0,0,2,1,0,2,0,0,1,0,0,2,1,1,1,2,1,0,2,0,0,0,3,0,3,0,2
10/15/2012,1,1,0,0,2,0,0,1,0,2,1,0,0,0,0,1,0,1,1,0,1,2,2,0,0,0,1,1,0,1,2,0,1,1,1,3,0,2,1
10/16/2012,2,2,0,3,1,0,0,1,1,1,2,1,1,1,0,0,0,1,2,0,1,1,0,0,0,1,1,0,0,0,0,1,1,2,0,0,1,0,2
10/17/2012,0,0,0,0,0,3,2,2,1,0,1,1,1,1,1,2,3,0,0,2,0,0,0,1,0,0,1,1,0,0,1,1,0,3,1,0,1,0,0
10/18/2012,0,0,1,0,1,3,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,0,0,0,3,1,1,2,0,1,2,1,2,0,1,1,1
10/19/2012,1,1,0,2,0,2,1,0,1,0,0,0,0,1,1,0,1,1,1,2,0,3,1,0,0,0,0,2,3,1,0,0,0,0,0,1,2,2,0
10/20/2012,0,0,0,0,0,2,4,2,1,0,1,0,0,1,3,0,1,1,2,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,2,2,1,0
10/21/2012,0,0,1,2,1,0,2,1,1,1,1,0,1,0,0,1,0,1,1,2,0,1,1,1,1,0,1,0,2,0,0,1,0,1,1,1,0,2,1
10/22/2012,0,1,0,0,0,1,0,1,1,1,0,1,0,0,2,1,0,1,0,4,0,0,1,1,0,3,0,0,1,0,0,0,1,2,0,2,2,2,1
10/23/2012,1,0,0,1,0,0,1,0,0,0,0,1,1,0,2,1,2,0,1,1,1,2,3,3,0,1,0,0,2,1,0,1,1,0,0,1,0,1,1
10/24/2012,0,1,2,1,1,3,1,2,1,0,1,1,2,2,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1
10/25/2012,1,0,1,2,0,1,0,1,1,0,0,0,2,1,0,0,0,0,0,1,1,0,1,0,1,1,1,2,0,2,1,0,1,2,0,2,1,2,1
10/26/2012,3,0,1,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,2,1,0,2,0,1,1,1,1,2,2
10/27/2012,0,0,1,2,0,2,1,0,0,1,2,1,0,0,0,0,0,1,1,1,2,0,3,2,1,0,1,0,0,0,2,1,1,3,0,0,0,1,0
10/28/2012,1,2,1,0,0,0,3,0,1,0,1,2,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,2,1,1,2,0,0,2,0,0,2,0,1
10/29/2012,1,0,0,0,1,0,1,3,0,1,0,0,0,3,1,1,1,0,2,0,1,1,2,0,2,0,0,1,1,1,0,0,1,2,1,2,0,0,0
10/30/2012,0,1,0,2,2,1,0,1,2,2,1,1,2,0,0,1,1,1,1,4,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0
10/31/2012,0,1,1,1,0,2,1,1,0,0,2,0,0,0,3,1,1,1,1,1,2,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,2,1
11/1/2012,1,1,1,1,0,1,0,0,1,1,0,0,0,1,2,1,3,2,4,0,0,0,1,0,3,0,0,1,2,0,0,0,0,0,0,1,0,0,2
11/2/2012,0,2,1,1,1,2,2,2,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0,2,3,0
11/3/2012,1,1,0,1,1,0,2,1,0,1,1,1,0,1,0,0,1,0,0,0,1,2,0,1,3,1,1,1,0,0,1,0,0,0,0,2,0,3,2
11/4/2012,2,1,3,0,1,0,0,1,1,2,2,1,0,1,0,1,0,0,1,0,2,0,1,1,0,1,1,0,0,0,2,1,2,0,0,1,0,1,0
11/5/2012,2,0,0,1,0,0,1,2,0,1,1,1,0,0,2,2,1,1,1,0,0,0,0,2,0,1,1,1,1,0,0,0,1,1,1,2,1,2,0
11/6/2012,0,2,1,0,1,0,2,0,0,1,0,2,0,0,0,1,1,0,1,0,0,2,0,1,0,2,1,0,2,2,0,3,0,0,0,2,1,2,0
11/7/2012,2,1,1,0,1,1,0,3,0,0,0,0,2,1,1,0,2,2,0,0,1,0,1,0,0,1,3,1,0,0,1,1,2,0,1,0,1,0,0
11/8/2012,1,0,0,1,0,2,1,0,2,0,0,1,2,0,1,1,0,1,1,1,3,1,1,1,1,2,0,0,1,0,1,1,1,0,0,1,1,0,0
11/9/2012,1,0,1,0,0,2,2,2,1,0,0,0,2,0,1,0,1,0,3,1,0,1,0,1,1,0,0,0,3,2,2,1,1,1,0,0,0,0,0
11/10/2012,1,1,0,1,1,1,1,0,0,0,0,0,2,1,0,0,2,1,0,0,2,2,0,1,2,0,1,0,1,1,0,2,2,2,0,1,0,1,0
11/11/2012,0,2,2,2,1,0,0,2,1,0,0,1,0,1,1,0,1,0,0,1,1,1,2,1,1,2,0,2,0,2,0,1,0,0,0,0,0,2,0
11/12/2012,0,1,1,0,2,0,0,1,0,0,2,0,0,0,1,2,1,0,0,0,1,1,1,3,0,0,1,3,1,0,1,0,0,0,1,0,2,1,3
11/13/2012,2,1,0,0,2,0,0,0,2,0,2,0,2,2,0,2,0,1,1,4,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,1
11/14/2012,2,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,2,0,1,0,2,0,2,1,0,1,0,0,1,1,0,0,2,1,1,0,1,1
11/15/2012,1,1,2,0,0,2,1,0,1,0,1,2,2,1,0,3,0,1,2,1,0,1,0,0,2,1,0,1,0,0,0,1,0,1,0,0,2,0,0
11/16/2012,1,0,0,2,0,1,0,0,1,1,0,0,1,0,1,0,1,0,2,0,0,0,1,1,1,1,4,0,1,0,1,2,0,0,1,1,2,2,1
11/17/2012,1,1,1,0,0,1,0,1,0,0,0,1,2,1,0,2,2,2,0,2,1,0,1,0,1,2,1,1,0,1,0,1,1,0,0,2,0,1,0
11/18/2012,0,0,2,0,1,1,0,0,1,2,1,1,1,0,0,1,1,0,1,1,1,0,1,1,2,0,2,1,0,1,2,0,1,1,0,2,0,1,0
11/19/2012,1,1,0,2,0,1,0,0,2,0,2,0,1,1,0,0,2,0,1,1,1,2,0,0,1,0,0,0,1,1,0,2,0,1,2,0,1,3,0
11/20/2012,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,2,1,3,3,2,0,0,2,2,1,1,1,0,1,0,1,0
11/21/2012,3,0,1,1,0,0,3,1,2,1,0,0,0,1,0,2,0,1,0,1,2,1,0,0,0,0,1,0,0,1,1,2,0,2,1,2,0,0,0
11/22/2012,1,1,0,2,0,2,0,0,1,2,2,1,1,0,0,1,2,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,2,1,0
11/23/2012,0,1,1,0,1,1,2,2,0,1,0,0,2,1,0,0,2,0,1,2,1,0,2,0,0,1,0,1,1,0,0,0,2,0,1,2,0,1,1
11/24/2012,0,0,2,0,2,0,1,0,2,0,1,3,0,0,1,0,0,1,2,0,1,0,0,1,0,2,1,1,0,0,2,1,0,1,3,0,1,1,0
11/25/2012,2,1,3,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,3,1,0,1,0,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1
11/26/2012,1,0,1,0,0,2,3,0,2,1,2,2,1,0,4,1,1,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0
11/27/2012,1,1,1,2,0,1,0,2,1,0,2,0,1,0,0,2,0,1,1,2,1,0,0,1,1,0,0,2,0,0,0,1,2,0,1,0,0,2,1
11/28/2012,1,2,2,0,0,1,0,1,0,1,0,1,2,1,1,1,2,1,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,1,1,2,1,0,1
11/29/2012,3,1,0,1,0,0,1,0,0,2,4,0,1,1,3,0,2,1,1,0,0,1,0,1,2,1,0,1,0,1,0,2,1,1,3,0,0,0,0
11/30/2012,0,0,1,0,1,1,2,1,3,1,0,2,1,0,2,2,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,3,0,0,0
12/1/2012,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,2,1,0,0,2,0,1,2,0,5,2,2,0,1,0,0,0,0,0,3,0,1,0
